no	title	explanation	price	view	deliveryfee	category	category_sub	category_detail	state
80	LVC 리바이스 데님 셔츠 청남방 Levis 오렌지탭 미국 usa	made in usa 미국 생산 새상품 S 사이즈 정품 국내 95-100 사이 실측가슴단면53cm어깨44.3카라제외길이75cm 2종류 이며 색감 다릅니다. 순서대로 1번 좀더 짙은 2번 입니다. 배송비3500원 일반이체만 받아요. 상점물품 더보시고 묶음배송 받으세요.	90000	2830	0	2	26	163	1
81	스톤아일랜드 나일론 오버셔츠s	정품이고 덧감도 있는모델이라 일반 오버셔츠보다 보온성좋습니다.셔츠라기보다 자켓정도. s사이즈이고 95-100입으시면 잘맞습니다 사용감정도 있을수있지만 하자나 큰오염없이 깨끗합니다 저렴히 판매하니 네고사절	295000	18	0	2	26	164	2
82	떠그클럽 레더팬츠 바지 1사이즈	번장에서 1회착용 40주고 구매후 입어보고 저랑 안맞아서 바로판매합니다 구매문의만받습니다 네고 x 쿨거택포	370000	347	0	2	27	165	1
83	회색 슬랙스	그레이 색상 슬랙스입니다. 착용은 얼마 없어 헤짐,오염 전혀없습니다~ 총장 : 92 밑단 : 15 허리단면 : 44 허리 31-32인치 입으시는 분은 맞을 듯 합니다~	5000	296	1	2	27	166	1
84	언더마이카 리전 테이핑 팬츠 블랙 와인 1사이즈 정가 판매	언더마이카 리전 테이핑 팬츠 블랙 와인 색상 1사이즈 미시착 새상품 팝니다 직거래 택배거래 가능합니다 정가 이하 판매합니다	180000	112	0	2	27	167	1
85	코히어런스 Alan Selvedge Yatch Canvas D.Blue	구매시기 21년도 도산공원 랜덤워크에서 구매 L사이즈 * 기장 105로 수선됨	290000	240	0	2	27	169	1
86	토피 와이드 데님팬츠 판매합니다!	무신사에서 구매했고 딱두번입었는데 손이잘안가게되어판매합니다ㅜ 와이드핏 청바지이고 살짝세미와이드느낌도 납니다! 연락주세요!	20000	61	1	2	28	170	2
87	디스퀘어드2 진청 스키니진 50사이즈	구입후에 시착 실착이 없는 제품입니다. 입는 스타일이 다른 제품과 틀립니다. 4번째 사진 밑단이 박음질 안된 상태로 원래 나오는 제품이며 마지막 사진처럼 입는 제품입니다. 간혹 품번 검색하시고 가격대가? 이렇게 낮어라고 생각하시는 분들 많은데 남은 재고 정리 사이즈 오버사이즈나 작은 사이즈를 정리하는 가격입니다. 이 제품 필웨이에서 30대 중반에 구입후에 입지를 않는 제품입니다. 핏이 정말 예쁜 제품이며 허벅지 두꺼운분도 날씬하게 보이는 제품입니다. 허리단면 44-45 총장 96-97 밑단 15정도 허벅지 25-26정도입니다.	150000	23	1	2	28	171	1
88	1) omo service 부츠컷 데님	omo service 부츠컷 데님 1사이즈 입니다. 상태는 사진과 같으며 밑단 헤짐, 쓸림 있습니다. 공홈에 품절이며 재입고 일정 없다고 인스타에 공지했습니다.	50000	59	1	2	28	172	1
89	리바이스550 데님 팬츠 (36)	스케이터들이 즐겨입는 팬츠 리바이스550입니다. 워싱의 중청과 여유있는 총장을 지닌 녀석입니다. 550 배기핏 실루엣은 사랑입니다😎 2004 / Made in Lesotho 표기(체감): 36“ (36“) 실측: 밑단22 총장116	65000	54	0	2	28	173	3
90	plac 진	사이즈 m 30	70000	153	1	2	28	174	2
91	폴로랄프로렌 반바지	폴로랄프로렌 반바지 입니다 뒤에 로고가 포인트 입니다 라지 입니다 새제품 구매후 1회 착용하였습니다 옷장 정리중입니다 국내매장구매	60000	13	1	2	29	175	1
92	풀카운트 1101/웨어하우스LVC코모리오라리시오타	풀카운트 1101 31/32 제품 입니다 실측은 모드맨 홈페이지에서 확인 부탁드립니다 3회미만 착용이고 사이즈 미스로 판매합니다 수선 일체하지 않은 제품입니다	250000	172	1	2	29	177	3
93	나이키 JDI 도트 우븐 쇼츠 M사이즈	나이키 JDI 도트 우븐쇼츠 M사이즈 피팅만해본 새상품입니다 쿨거시 택포 드립니다	35000	7	1	2	29	176	2
94	DSQUARED2 디스퀘어드46 (33)	정품 여부 ; 상태 9/10 택 46 실측 허리 33 총길이 95 밑위25 허벅지25 밑단 17 실측을 보고 판단해 주세요 저렴히 올립니다	55000	27	0	2	29	178	2
95	아더에러 글로우 가디건	A1 사이즈 새상품입니다.	299000	200	1	2	32		3
96	몽클레어 니트패딩	몽클레어 니트 패딩 몇달전에 지인한테 받았어요 네번정도 입었습니다 팔 니트쪽에 먼지 같은거 살짝 붙은거 빼고 깨끗해요 M사이즈 검은색 140짜리 50에 팔아요 정품 단품	500000	81	0	2	33		1
97	리얼맥코이 B-6	리얼 맥코이사의 B-6무스탕 입니다 기존 두껍고 불편한 B-3 를 개량한 버전입니다 40사이즈로, 100-105 입는 저는 반팔입고 저스트-넉넉 사이 어딘가 느낌으로 잘 맞습니다 어깨50 가슴 51(뒷면 액션플리츠 펼치면 실제 57-60) 총장 65 실측은 아마추어 실측이라 차이가 있을 수 있습니다 쿨거래시 합리적 수준의 네고 가능합니다	1350000	212	1	2	34	185	1
98	[판매]stu 에스티유 멀티 포켓 코듀로이 자켓[L]100-105	Plp샵에서 구매한 stu자켓입니다. 평소 stu블레이저,코트류 모두 m을 입지만 이제품은 L이 맞습니다. M,L모두 시착해본 결과 M이 완전 정핏100이라면, L은 100-105 모델의 오버핏 실루엣으로 평소 100-105를 입으시는 분들은 L을 구매하시는것을 추천드립니다. 판매자175/73인데 이제품은 m이 아닌 L이 맞습니다. 작게나온편입니다. 브로치 모두 포함(실사의 레드,그린 브로치)이며 백부분 포켓 부분에 브로치 자국이 남아있습니다. 이점 감안하여 싸게 판매합니다. 텍 미제거이며 착용횟수는 없는 새상품으로 보시면 좋을것같습니다. 번개페이 구매시:(가격변경됩니다)27 다음날 착불배송 계좌구매시:25운포 당일 우체국배송 다시한번 말씀드리지만, 브로치 모두 포함(실사진의 그린,레드 브로치) 계좌구매시25운포이며, <프로치 따로구매 문의x> 뒷포켓부분에 브로치 자국이 있습니다. 실착은 없으며 이점 감안하여 구매 부탁드립니다.	250000	103	0	2	34	186	3
99	반츠 아브라함문 그레이 헤링본 자켓	반츠의 건클럽 자켓과 함께 매년 출시되고 매번 빠르게 품절되는 아브라함문 그레이 헤링본 울 100% 자켓입니다. 40만원대 이상 가격으로 구입하여 조심히 몇번 입지않아 민트급 상태 유지중입니다. 48사이즈로 어떠한 수선 진행한 것 없으며, 이염, 손상 등 전혀 없습니다. 그레이 헤링본 자켓은 어떠한 스타일에도 다 잘어울리는 기본 아이템 중 하나입니다. 아브라함 문의 울 100% 원단으로 헤링본 자켓 고유의 고급스러움을 드러내 줍니다. 옷장에 옷들이 너무 많아 쿨거로 택포 2만 저렴한 가격에 정리합니다. 감사합니다.	200000	67	0	2	34	187	2
100	!!나이키 빈티지 전문샵!! 폴로아디다스버버리마제스틱스톤노스페이스타미뉴발	💫안녕하세요 나이키90s전문상점 입니다💫 당신의 이번 겨울 아우터 책임 집니다! ☻️매일 매일 7시~9시 업로드 합니당☻️ ☻️세계 빈티지 아디다스 나이키 노페 폴로 슈프림 스톤 등등 세계 각지에서 볼 수 없는 제품들로 선사합니다☻️ 💜홍보물 게시물 이오니 상점 클릭 둘러 보시고 문의 주시면 감사하겟습니다💜 😶‍🌫️상점 팔로우 후 알림설정 하시면 더 많은 이쁜 제품들 보실 수 있어요 매일 😶‍🌫️팔로우 시 택배비 무료 등 좋은 혜택들 드립니당 5+1행사중 💗모두 들 즐거운 2023년 되세요 행복하시구 건강하세요💗	1000	729	1	2	34	188	1

